,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,song,artist,WeekID
,,,,,,,,,,,,,,,Zoom,Lil' Boosie ,2006-12-23
000u1dTg7y1XCDXi80hbBX,0.763,0.44,7.0,-13.11,1.0,0.0388,0.181,0.000457,0.114,0.421,120.492,audio_features,300440.0,4.0,I Don't Want A Lover,Texas,1989-09-16
003FTlCpBTM4eSqYSWPv4H,0.553,0.717,7.0,-5.857,1.0,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,audio_features,233267.0,4.0,"Swing, Swing",The All-American Rejects,2003-08-30
004ZH9ISUSEwansKKbUdJs,0.348,0.924,7.0,-3.048,1.0,0.0945,0.236,0.0,0.102,0.0869,114.117,audio_features,291800.0,4.0,You Better Wait,Steve Perry,1994-07-23
005lwxGU1tms6HGELIcUv9,0.699,0.76,5.0,-3.173,1.0,0.0677,0.00223,0.0,0.132,0.696,129.996,audio_features,179640.0,4.0,I Kissed A Girl,Katy Perry,2008-05-31
006Ndmw2hHxvnLbJsBFnPx,0.518,0.06,10.0,-14.887,1.0,0.0441,0.987,7.87e-06,0.161,0.336,127.87,audio_features,216373.0,4.0,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,1958-08-09
007n10xGvSbc7dKgAORVIq,0.668,0.65,10.0,-4.351,1.0,0.0228,0.142,0.000325,0.0956,0.577,103.954,audio_features,231347.0,4.0,Brokenheartsville,Joe Nichols,2003-05-10
00B7TZ0Xawar6NZ00JFomN,0.62,0.625,9.0,-7.438,1.0,0.553,0.287,0.0,0.314,0.665,167.911,audio_features,284856.0,4.0,Best Life,Cardi B ,2018-04-28
00CmjeeHvAVKvx3tcIiZTy,0.679,0.412,2.0,-16.962,1.0,0.0305,0.416,0.0,0.128,0.963,105.903,audio_features,166733.0,4.0,Two Lovers,Mary Wells,1962-12-08
00FRRwuaJP9KimukvLQCOz,0.583,0.798,2.0,-9.716,0.0,0.0612,0.113,0.0,0.0513,0.96,85.323,audio_features,280280.0,4.0,"Never, Never Gonna Give Ya Up",Barry White,1973-11-03
00HnYt4dGTSZJIxywDcs7P,0.44,0.655,4.0,-8.424,1.0,0.432,0.627,0.0,0.607,0.899,205.187,audio_features,196347.0,4.0,Junk Food Junkie,Larry Groce,1976-01-17
00IrSynHsun7DpDrLkRIjM,0.62,0.703,2.0,-7.854,1.0,0.0836,0.479,0.0,0.14,0.559,136.155,audio_features,239693.0,4.0,The Boy In The Bubble,Paul Simon,1987-03-21
00Mb3DuaIH1kjrwOku9CGU,0.487,0.9,0.0,-4.417,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937,audio_features,204000.0,4.0,Sk8er Boi,Avril Lavigne,2002-12-28
00PLtXXER1XcTRZvs3LioS,0.894,0.568,2.0,-13.207,1.0,0.0952,0.332,0.0281,0.0666,0.742,106.025,audio_features,147000.0,4.0,Get The Funk Out Ma Face,The Brothers Johnson,1976-08-21
00Qi1pQPiMxsnnlZG2bpTC,0.621,0.682,9.0,-7.429,1.0,0.0511,0.0581,3.87e-06,0.0815,0.711,89.573,audio_features,174027.0,4.0,Nobody Wants You When You're Down And Out,Bobby Womack,1973-06-23
00QyLmjxaSEE8qIZQjBXBj,0.554,0.899,8.0,-4.573,1.0,0.408,0.0521,0.0,0.0568,0.552,171.966,audio_features,227893.0,4.0,We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,2013-06-15
00RYiT3a2lNQ1wTKBQXWSw,0.85,0.687,0.0,-5.995,0.0,0.308,0.213,0.0,0.0724,0.502,149.989,audio_features,207013.0,4.0,Lookin Boy,Hot Stylz ,2008-06-28
00U0pedRUMEzREpyRqbVT6,0.691,0.601,7.0,-9.698,1.0,0.0428,0.628,0.017,0.0709,0.85,167.796,audio_features,263813.0,4.0,"I'll Remember (From ""With Honors"")",Madonna,1994-04-09
00U1MDChdOTxWwtKoOoBXE,0.612,0.591,1.0,-7.02,1.0,0.051,0.462,0.0,0.111,0.349,160.659,audio_features,184333.0,4.0,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,1994-06-25
00U45bMLJ8QM1kwT9i6cIL,0.302,0.595,0.0,-6.875,1.0,0.0348,0.00817,0.0,0.374,0.7,207.475,audio_features,181040.0,4.0,I'll Say Forever My Love,Jimmy Ruffin,1968-03-16
00XXUBsdOe8cLPo2p64Dd3,0.473,0.952,4.0,-3.561,1.0,0.0531,0.0342,3.84e-05,0.275,0.78,152.007,audio_features,273187.0,4.0,Even Now,Bob Seger & The Silver Bullet Band,1983-03-19
00YUbK1ouKc3PAkyiQWvgs,0.614,0.612,5.0,-10.948,0.0,0.0391,0.161,0.0178,0.959,0.705,111.421,audio_features,578373.0,4.0,I Can't Go For That (No Can Do),Daryl Hall John Oates,1981-11-21
00bFaR6IDOyGSuRDpmFotJ,0.653,0.617,0.0,-11.948,1.0,0.0295,0.202,0.0,0.151,0.545,99.647,audio_features,251493.0,4.0,Sentimental Street,Night Ranger,1985-09-07
00cs7mlkTcIIoWnm8G0U0l,0.407,0.47,0.0,-8.64,1.0,0.037,0.755,0.0216,0.0976,0.227,138.471,audio_features,188253.0,4.0,Wigwam,Bob Dylan,1970-08-01
00iVYbSh1B77akx1ITNWUL,0.373,0.884,4.0,-7.707,1.0,0.0421,0.00409,0.0,0.329,0.28,130.099,audio_features,257920.0,4.0,New Thing,Enuff Z'Nuff,1989-10-28
00kvKlIvfzQLSi6T2zwXuS,0.731,0.617,7.0,-11.644,0.0,0.0529,0.276,0.0142,0.134,0.765,90.94,audio_features,299067.0,4.0,Strawberry Letter 23,The Brothers Johnson,1977-10-22
